id,title,description,category,priority,status,created_at
78,Need help: Malware detected,Antivirus detected malware on my computer. Please help urgently.,security,medium,resolved,2025-11-07 17:13:40
79,Important: Data breach concern,"Concerned about potential data breach, unusual activity noticed. Multiple users are reporting this issue.",security,medium,in_progress,2025-09-19 17:13:40
80,Important: Email client not syncing,Outlook is not syncing my emails properly.,software,medium,open,2025-10-01 17:13:40
81,High priority: Malware detected,Antivirus detected malware on my computer. This is affecting my work.,security,medium,resolved,2025-10-13 17:13:40
82,Keyboard keys not working,Several keys on my keyboard have stopped responding. Please help urgently.,hardware,low,in_progress,2025-09-14 17:13:40
83,Need help: VPN not working,VPN connection keeps dropping every few minutes. Has been happening since yesterday.,network,medium,open,2025-11-20 17:13:40
84,Important: Suspicious email received,Received a phishing email claiming to be from IT. Multiple users are reporting this issue.,security,medium,open,2025-11-11 17:13:40
85,Slow internet speed,"Internet is extremely slow, pages take forever to load. This is affecting my work.",network,low,open,2025-09-13 17:13:40
86,Important: Keyboard keys not working,Several keys on my keyboard have stopped responding. This is affecting my work.,hardware,medium,open,2025-10-08 17:13:40
87,Important: Network connectivity issues,Unable to connect to the office network from my laptop. This is affecting my work.,network,medium,in_progress,2025-10-02 17:13:40
88,System down: Malware detected,Antivirus detected malware on my computer. Multiple users are reporting this issue.,security,high,resolved,2025-09-11 17:13:40
89,Slow internet speed,"Internet is extremely slow, pages take forever to load. Multiple users are reporting this issue.",network,low,resolved,2025-10-11 17:13:40
90,Security certificate error,Getting security certificate error on company website.,security,low,open,2025-09-17 17:13:40
91,Keyboard keys not working,Several keys on my keyboard have stopped responding. Has been happening since yesterday.,hardware,low,open,2025-11-08 17:13:40
92,Malware detected,Antivirus detected malware on my computer. Has been happening since yesterday.,security,low,in_progress,2025-11-02 17:13:40
93,High priority: Laptop screen flickering,My laptop screen keeps flickering and going black. Has been happening since yesterday.,hardware,medium,open,2025-11-14 17:13:40
94,High priority: Data breach concern,"Concerned about potential data breach, unusual activity noticed. Multiple users are reporting this issue.",security,medium,open,2025-09-09 17:13:40
95,Access permission needed,Need access to the shared drive for marketing team. Multiple users are reporting this issue.,account,low,open,2025-10-23 17:13:40
96,CRITICAL: Mouse not responding,Wireless mouse is not connecting to my computer.,hardware,high,resolved,2025-09-28 17:13:40
97,Browser performance issues,Chrome browser is very slow and unresponsive.,software,low,resolved,2025-10-01 17:13:40
98,CRITICAL: Network connectivity issues,Unable to connect to the office network from my laptop.,network,high,open,2025-11-17 17:13:40
99,Software license expired,AutoCAD showing license expired message.,software,low,open,2025-10-08 17:13:40
100,Printer paper jam,Office printer has a paper jam that I cannot clear. Multiple users are reporting this issue.,hardware,low,in_progress,2025-09-20 17:13:40
101,Application crashing,Microsoft Excel crashes every time I open large files. Please help urgently.,software,low,open,2025-11-14 17:13:40
102,EMERGENCY: Browser performance issues,Chrome browser is very slow and unresponsive. This is affecting my work.,software,high,open,2025-10-14 17:13:40
103,EMERGENCY: Data breach concern,"Concerned about potential data breach, unusual activity noticed.",security,high,open,2025-11-01 17:13:40
104,Browser performance issues,Chrome browser is very slow and unresponsive. Please help urgently.,software,low,resolved,2025-10-11 17:13:40
105,High priority: Suspicious email received,Received a phishing email claiming to be from IT. Has been happening since yesterday.,security,medium,open,2025-09-11 17:13:40
106,Data breach concern,"Concerned about potential data breach, unusual activity noticed. Please help urgently.",security,low,open,2025-10-16 17:13:40
107,Important: Printer paper jam,Office printer has a paper jam that I cannot clear. Has been happening since yesterday.,hardware,medium,in_progress,2025-10-23 17:13:40
108,Software installation error,Cannot install the updated version of Adobe Reader.,software,low,open,2025-11-16 17:13:40
109,Email client not syncing,Outlook is not syncing my emails properly. Please help urgently.,software,low,open,2025-10-19 17:13:40
110,Software license expired,AutoCAD showing license expired message. Multiple users are reporting this issue.,software,low,open,2025-10-20 17:13:40
111,High priority: Application crashing,Microsoft Excel crashes every time I open large files. Has been happening since yesterday.,software,medium,resolved,2025-09-18 17:13:40
112,Slow internet speed,"Internet is extremely slow, pages take forever to load. Has been happening since yesterday.",network,low,in_progress,2025-11-18 17:13:40
113,Keyboard keys not working,Several keys on my keyboard have stopped responding. Has been happening since yesterday.,hardware,low,open,2025-10-27 17:13:40
114,Access permission needed,Need access to the shared drive for marketing team. Has been happening since yesterday.,account,low,in_progress,2025-11-18 17:13:40
115,Account locked out,My account has been locked after multiple login attempts. This is affecting my work.,account,low,open,2025-10-24 17:13:40
116,Suspicious email received,Received a phishing email claiming to be from IT. Has been happening since yesterday.,security,low,resolved,2025-09-20 17:13:40
117,Email account issues,"Cannot access my email account, shows invalid credentials. This is affecting my work.",account,low,resolved,2025-11-14 17:13:40
118,Account locked out,My account has been locked after multiple login attempts. This is affecting my work.,account,low,in_progress,2025-09-21 17:13:40
119,Email client not syncing,Outlook is not syncing my emails properly. This is affecting my work.,software,low,open,2025-09-15 17:13:40
120,Need help: Software installation error,Cannot install the updated version of Adobe Reader. This is affecting my work.,software,medium,open,2025-09-26 17:13:40
121,Important: Account locked out,My account has been locked after multiple login attempts. Please help urgently.,account,medium,resolved,2025-10-19 17:13:40
122,New user account setup,New employee needs account setup for all systems.,account,low,open,2025-10-07 17:13:40
123,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. Please help urgently.,security,low,resolved,2025-11-03 17:13:40
124,Password reset request,I forgot my password and need to reset it.,account,low,resolved,2025-08-31 17:13:40
125,Data breach concern,"Concerned about potential data breach, unusual activity noticed. Please help urgently.",security,low,in_progress,2025-11-05 17:13:40
126,Major issue: VPN not working,VPN connection keeps dropping every few minutes. Has been happening since yesterday.,network,high,resolved,2025-10-23 17:13:40
127,Important: Application crashing,Microsoft Excel crashes every time I open large files.,software,medium,in_progress,2025-10-24 17:13:40
128,Need help: Security certificate error,Getting security certificate error on company website. This is affecting my work.,security,medium,open,2025-11-19 17:13:40
129,Major issue: Mouse not responding,Wireless mouse is not connecting to my computer. This is affecting my work.,hardware,high,open,2025-10-23 17:13:40
130,New user account setup,New employee needs account setup for all systems. Multiple users are reporting this issue.,account,low,in_progress,2025-09-05 17:13:40
131,Monitor display issues,Second monitor is not being detected by my computer.,hardware,low,open,2025-11-09 17:13:40
132,EMERGENCY: Suspicious email received,Received a phishing email claiming to be from IT. Please help urgently.,security,high,open,2025-10-31 17:13:40
133,High priority: Email account issues,"Cannot access my email account, shows invalid credentials. Multiple users are reporting this issue.",account,medium,open,2025-08-28 17:13:40
134,Monitor display issues,Second monitor is not being detected by my computer.,hardware,low,open,2025-09-13 17:13:40
135,Software license expired,AutoCAD showing license expired message. This is affecting my work.,software,low,open,2025-10-16 17:13:40
136,High priority: Keyboard keys not working,Several keys on my keyboard have stopped responding. Please help urgently.,hardware,medium,open,2025-09-20 17:13:40
137,Security certificate error,Getting security certificate error on company website. Multiple users are reporting this issue.,security,low,open,2025-09-30 17:13:40
138,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. This is affecting my work.,security,low,open,2025-09-08 17:13:40
139,Monitor display issues,Second monitor is not being detected by my computer.,hardware,low,open,2025-09-16 17:13:40
140,Suspicious email received,Received a phishing email claiming to be from IT.,security,low,resolved,2025-10-21 17:13:40
141,System down: Browser performance issues,Chrome browser is very slow and unresponsive. Please help urgently.,software,high,open,2025-10-26 17:13:40
142,Need help: Security certificate error,Getting security certificate error on company website. Multiple users are reporting this issue.,security,medium,open,2025-09-14 17:13:40
143,Access permission needed,Need access to the shared drive for marketing team. Multiple users are reporting this issue.,account,low,open,2025-09-09 17:13:40
144,Suspicious email received,Received a phishing email claiming to be from IT. Has been happening since yesterday.,security,low,open,2025-10-25 17:13:40
145,Laptop screen flickering,My laptop screen keeps flickering and going black. This is affecting my work.,hardware,low,in_progress,2025-10-19 17:13:40
146,Important: Security certificate error,Getting security certificate error on company website. Please help urgently.,security,medium,open,2025-11-03 17:13:40
147,High priority: Laptop screen flickering,My laptop screen keeps flickering and going black.,hardware,medium,open,2025-09-09 17:13:40
148,Need help: Application crashing,Microsoft Excel crashes every time I open large files. Multiple users are reporting this issue.,software,medium,open,2025-11-18 17:13:40
149,High priority: Account locked out,My account has been locked after multiple login attempts. Please help urgently.,account,medium,open,2025-09-06 17:13:40
150,Malware detected,Antivirus detected malware on my computer. This is affecting my work.,security,low,open,2025-09-23 17:13:40
151,Browser performance issues,Chrome browser is very slow and unresponsive. Has been happening since yesterday.,software,low,open,2025-10-14 17:13:40
152,Laptop screen flickering,My laptop screen keeps flickering and going black. Multiple users are reporting this issue.,hardware,low,open,2025-09-28 17:13:40
153,Laptop screen flickering,My laptop screen keeps flickering and going black. Please help urgently.,hardware,low,open,2025-09-19 17:13:40
154,URGENT: Access permission needed,Need access to the shared drive for marketing team. Please help urgently.,account,high,open,2025-09-27 17:13:40
155,High priority: Unauthorized access attempt,Multiple failed login attempts on my account from unknown location.,security,medium,open,2025-11-07 17:13:40
156,Need help: Security certificate error,Getting security certificate error on company website. This is affecting my work.,security,medium,open,2025-11-07 17:13:40
157,Laptop screen flickering,My laptop screen keeps flickering and going black. This is affecting my work.,hardware,low,open,2025-10-10 17:13:40
158,Software license expired,AutoCAD showing license expired message. Has been happening since yesterday.,software,low,resolved,2025-09-25 17:13:40
159,Important: Keyboard keys not working,Several keys on my keyboard have stopped responding.,hardware,medium,open,2025-09-26 17:13:40
160,Need help: Software license expired,AutoCAD showing license expired message.,software,medium,open,2025-10-19 17:13:40
161,Access permission needed,Need access to the shared drive for marketing team. This is affecting my work.,account,low,open,2025-10-18 17:13:40
162,Important: Monitor display issues,Second monitor is not being detected by my computer. This is affecting my work.,hardware,medium,in_progress,2025-10-24 17:13:40
163,Major issue: Email client not syncing,Outlook is not syncing my emails properly. Multiple users are reporting this issue.,software,high,resolved,2025-11-15 17:13:40
164,VPN not working,VPN connection keeps dropping every few minutes. Has been happening since yesterday.,network,low,in_progress,2025-09-16 17:13:40
165,Important: Laptop screen flickering,My laptop screen keeps flickering and going black. Multiple users are reporting this issue.,hardware,medium,resolved,2025-10-24 17:13:40
166,Software license expired,AutoCAD showing license expired message. Multiple users are reporting this issue.,software,low,open,2025-11-05 17:13:40
167,Laptop screen flickering,My laptop screen keeps flickering and going black. This is affecting my work.,hardware,low,open,2025-09-19 17:13:40
168,URGENT: Access permission needed,Need access to the shared drive for marketing team.,account,high,open,2025-09-18 17:13:40
169,High priority: Password reset request,I forgot my password and need to reset it. Please help urgently.,account,medium,open,2025-10-23 17:13:40
170,Account locked out,My account has been locked after multiple login attempts.,account,low,in_progress,2025-09-10 17:13:40
171,High priority: New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,medium,resolved,2025-10-16 17:13:40
172,Major issue: WiFi connection problems,Cannot connect to WiFi in conference room B. Multiple users are reporting this issue.,network,high,open,2025-09-18 17:13:40
173,Printer paper jam,Office printer has a paper jam that I cannot clear. Multiple users are reporting this issue.,hardware,low,in_progress,2025-09-19 17:13:40
174,Keyboard keys not working,Several keys on my keyboard have stopped responding. This is affecting my work.,hardware,low,in_progress,2025-10-21 17:13:40
175,Need help: Software license expired,AutoCAD showing license expired message.,software,medium,in_progress,2025-09-04 17:13:40
176,Account locked out,My account has been locked after multiple login attempts. Please help urgently.,account,low,open,2025-08-24 17:13:40
177,Need help: Mouse not responding,Wireless mouse is not connecting to my computer. Please help urgently.,hardware,medium,resolved,2025-10-11 17:13:40
178,Account locked out,My account has been locked after multiple login attempts. Multiple users are reporting this issue.,account,low,open,2025-09-08 17:13:40
179,Important: Email client not syncing,Outlook is not syncing my emails properly.,software,medium,in_progress,2025-11-19 17:13:40
180,System down: Email account issues,"Cannot access my email account, shows invalid credentials. Has been happening since yesterday.",account,high,resolved,2025-08-23 17:13:40
181,URGENT: Monitor display issues,Second monitor is not being detected by my computer. This is affecting my work.,hardware,high,resolved,2025-10-12 17:13:40
182,Mouse not responding,Wireless mouse is not connecting to my computer. Multiple users are reporting this issue.,hardware,low,open,2025-11-09 17:13:40
183,Account locked out,My account has been locked after multiple login attempts. Please help urgently.,account,low,open,2025-10-19 17:13:40
184,System down: Malware detected,Antivirus detected malware on my computer. Please help urgently.,security,high,open,2025-10-31 17:13:40
185,Security certificate error,Getting security certificate error on company website. Multiple users are reporting this issue.,security,low,open,2025-09-21 17:13:40
186,Data breach concern,"Concerned about potential data breach, unusual activity noticed. This is affecting my work.",security,low,resolved,2025-10-19 17:13:40
187,High priority: Security certificate error,Getting security certificate error on company website. Has been happening since yesterday.,security,medium,open,2025-09-25 17:13:40
188,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. This is affecting my work.,security,low,open,2025-10-19 17:13:40
189,Network connectivity issues,Unable to connect to the office network from my laptop.,network,low,open,2025-10-20 17:13:40
190,Browser performance issues,Chrome browser is very slow and unresponsive. Has been happening since yesterday.,software,low,open,2025-10-22 17:13:40
191,Slow internet speed,"Internet is extremely slow, pages take forever to load. This is affecting my work.",network,low,resolved,2025-11-13 17:13:40
192,Keyboard keys not working,Several keys on my keyboard have stopped responding. Has been happening since yesterday.,hardware,low,resolved,2025-09-14 17:13:40
193,High priority: Data breach concern,"Concerned about potential data breach, unusual activity noticed. Has been happening since yesterday.",security,medium,resolved,2025-09-06 17:13:40
194,High priority: Access permission needed,Need access to the shared drive for marketing team. Has been happening since yesterday.,account,medium,resolved,2025-09-23 17:13:40
195,High priority: Network printer offline,Network printer is showing offline status. Has been happening since yesterday.,network,medium,open,2025-10-30 17:13:40
196,Need help: Software license expired,AutoCAD showing license expired message. Multiple users are reporting this issue.,software,medium,open,2025-11-10 17:13:40
197,Important: Suspicious email received,Received a phishing email claiming to be from IT. Please help urgently.,security,medium,resolved,2025-10-16 17:13:40
198,Browser performance issues,Chrome browser is very slow and unresponsive.,software,low,resolved,2025-11-07 17:13:40
199,Malware detected,Antivirus detected malware on my computer. Has been happening since yesterday.,security,low,open,2025-10-29 17:13:40
200,Access permission needed,Need access to the shared drive for marketing team. Multiple users are reporting this issue.,account,low,open,2025-09-19 17:13:40
201,Browser performance issues,Chrome browser is very slow and unresponsive.,software,low,open,2025-10-07 17:13:40
202,Important: Access permission needed,Need access to the shared drive for marketing team. Has been happening since yesterday.,account,medium,open,2025-10-25 17:13:40
203,Important: Malware detected,Antivirus detected malware on my computer.,security,medium,open,2025-09-25 17:13:40
204,Application crashing,Microsoft Excel crashes every time I open large files. Has been happening since yesterday.,software,low,open,2025-11-03 17:13:40
205,Important: Data breach concern,"Concerned about potential data breach, unusual activity noticed. Has been happening since yesterday.",security,medium,open,2025-10-22 17:13:40
206,Email client not syncing,Outlook is not syncing my emails properly. Please help urgently.,software,low,open,2025-10-17 17:13:40
207,EMERGENCY: Security certificate error,Getting security certificate error on company website. Please help urgently.,security,high,open,2025-10-16 17:13:40
208,System down: Software installation error,Cannot install the updated version of Adobe Reader. Has been happening since yesterday.,software,high,in_progress,2025-11-11 17:13:40
209,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. Has been happening since yesterday.,security,low,in_progress,2025-10-24 17:13:40
210,System down: Laptop screen flickering,My laptop screen keeps flickering and going black. This is affecting my work.,hardware,high,open,2025-09-05 17:13:40
211,URGENT: Email client not syncing,Outlook is not syncing my emails properly.,software,high,open,2025-10-20 17:13:40
212,Important: Software installation error,Cannot install the updated version of Adobe Reader. This is affecting my work.,software,medium,open,2025-10-17 17:13:40
213,Important: Browser performance issues,Chrome browser is very slow and unresponsive. Multiple users are reporting this issue.,software,medium,open,2025-10-03 17:13:40
214,CRITICAL: Network connectivity issues,Unable to connect to the office network from my laptop.,network,high,open,2025-10-13 17:13:40
215,Password reset request,I forgot my password and need to reset it.,account,low,resolved,2025-10-27 17:13:40
216,System down: Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. Multiple users are reporting this issue.,security,high,open,2025-09-22 17:13:40
217,Important: Network printer offline,Network printer is showing offline status. This is affecting my work.,network,medium,in_progress,2025-08-25 17:13:40
218,URGENT: Mouse not responding,Wireless mouse is not connecting to my computer. Please help urgently.,hardware,high,open,2025-09-01 17:13:40
219,System down: Network connectivity issues,Unable to connect to the office network from my laptop. Multiple users are reporting this issue.,network,high,open,2025-09-04 17:13:40
220,Important: Access permission needed,Need access to the shared drive for marketing team.,account,medium,open,2025-09-28 17:13:40
221,Application crashing,Microsoft Excel crashes every time I open large files. Multiple users are reporting this issue.,software,low,in_progress,2025-09-13 17:13:40
222,Keyboard keys not working,Several keys on my keyboard have stopped responding. Multiple users are reporting this issue.,hardware,low,resolved,2025-11-13 17:13:40
223,System down: Browser performance issues,Chrome browser is very slow and unresponsive. Please help urgently.,software,high,in_progress,2025-10-04 17:13:40
224,Malware detected,Antivirus detected malware on my computer. This is affecting my work.,security,low,open,2025-11-02 17:13:40
225,Need help: VPN not working,VPN connection keeps dropping every few minutes. Multiple users are reporting this issue.,network,medium,in_progress,2025-08-26 17:13:40
226,Data breach concern,"Concerned about potential data breach, unusual activity noticed. This is affecting my work.",security,low,open,2025-10-14 17:13:40
227,Malware detected,Antivirus detected malware on my computer. Has been happening since yesterday.,security,low,open,2025-10-20 17:13:40
228,Data breach concern,"Concerned about potential data breach, unusual activity noticed.",security,low,open,2025-11-15 17:13:40
229,Application crashing,Microsoft Excel crashes every time I open large files.,software,low,resolved,2025-08-22 17:13:40
230,Mouse not responding,Wireless mouse is not connecting to my computer. Has been happening since yesterday.,hardware,low,open,2025-11-18 17:13:40
231,URGENT: Data breach concern,"Concerned about potential data breach, unusual activity noticed. This is affecting my work.",security,high,in_progress,2025-11-18 17:13:40
232,CRITICAL: Monitor display issues,Second monitor is not being detected by my computer.,hardware,high,open,2025-10-09 17:13:40
233,High priority: Keyboard keys not working,Several keys on my keyboard have stopped responding. Multiple users are reporting this issue.,hardware,medium,open,2025-11-15 17:13:40
234,Monitor display issues,Second monitor is not being detected by my computer. This is affecting my work.,hardware,low,open,2025-11-04 17:13:40
235,Need help: Software installation error,Cannot install the updated version of Adobe Reader. Multiple users are reporting this issue.,software,medium,open,2025-08-28 17:13:40
236,Email account issues,"Cannot access my email account, shows invalid credentials. Has been happening since yesterday.",account,low,in_progress,2025-10-16 17:13:40
237,High priority: Keyboard keys not working,Several keys on my keyboard have stopped responding. This is affecting my work.,hardware,medium,open,2025-09-17 17:13:40
238,URGENT: Laptop screen flickering,My laptop screen keeps flickering and going black. Has been happening since yesterday.,hardware,high,resolved,2025-09-19 17:13:40
239,Printer paper jam,Office printer has a paper jam that I cannot clear. Has been happening since yesterday.,hardware,low,resolved,2025-10-02 17:13:40
240,Important: Security certificate error,Getting security certificate error on company website. This is affecting my work.,security,medium,open,2025-09-30 17:13:40
241,Laptop screen flickering,My laptop screen keeps flickering and going black. Has been happening since yesterday.,hardware,low,resolved,2025-11-07 17:13:40
242,System down: Malware detected,Antivirus detected malware on my computer. Multiple users are reporting this issue.,security,high,resolved,2025-08-26 17:13:40
243,Malware detected,Antivirus detected malware on my computer. Please help urgently.,security,low,in_progress,2025-10-15 17:13:40
244,CRITICAL: Unauthorized access attempt,Multiple failed login attempts on my account from unknown location.,security,high,open,2025-10-25 17:13:40
